№,Наименование организации,,ИНН,Юридический адрес,Ф.И.О. руководителя,Контакты,Основной вид деятельности (ОКЕД),код ОКЕД,№ лицензии,Дата выдачи лицензии,срок действии лицензии,Вид лицензируемой деятельности,№ лицензионного соглашения,Дата лицензионного соглашения,Наименование лицензируемых работ,Причина переоформления или отзыва  лицензии,Форма собственности,Область,Район,Населенный пункт
878,AFROSIYOB XOSIYAT BEGIM MAKONI,МЧЖ,302454027,"Самарқанд вилояти, Самарқанд шаҳри, Дахбет кўчаси,14",Аблакулов Шавкат Ахроркулович Исп: Файзи,90/2122509,,,,,,,,,,,,Самарқанд,,Самарқанд шаҳри
879,UNIVERSAL VARIANT,МЧЖ ,303411618,"Фарғона вилояти, Қўқон шаҳри, Хўқандий кўчаси, 46Б/1",Исрмиддинов Гофур Хайдарович ,99890 566-79-97 8-373 542-76-71,,,,,,,,,,,,Фарғона,, Қўқон шаҳри
880,EFFEKT ARXITERTURA QURILISH, МЧЖ,303221015,"Қашқадарё вилояти, Қарши шаҳри, Хуснобод кўчаси, 71/8",Исматов М ,99891 949-10-85 8-375 221-13-08 оооeffekt@mail.ru,,,,,,,,,,,,Қашқадарё ,,Қарши шаҳри
881,KAIZEN ART, МЧЖ  ,303348877,"150100, Фарғона вилояти, Фарғона шаҳри, Талабалар кўчаси, 74",Юлдашев Шерзод Тўлкинович ,99893 643-10-00,,,,,,,,,,,,Фарғона ,,Фарғона шаҳри
882,STROYAUDIT, МЧЖ,303415191,"Тошкент шаҳри, Юнус-обод тумани, 9-мавзе, 6-А/48",Бобоноров Олимжон Суюнович,,,,,,,,,,,,,,Юнус-обод,Тошкент шаҳри
883,FARG’ONA TA’MIR LOYIHA,МЧЖ,303312123,"Фарғона вилояти, Фарғона шаҳри, Қурувчилар кўчаси, 34",Ж. Кабулов М. Каримов,,,,,,,,,,,,,Фарғона,,Фарғона шаҳри
884,ARXITEKTOR STROY PROYEKT,МЧЖ ,303343758,"Бухоро вилояти, Бухоро шаҳри, Ғиждувон кўчаси, 16","Кахаров Комилжон Жамилевич , Тимур ака (инженер)","99891 410-52-25 , 99890 710-80-77 ",,,,,,,,,,,,Бухоро ,,Бухоро шаҳри
885,GGS-GRAND GEODEZIYA,МЧЖ,201295688,"Навоий вилояти, Навоий шаҳри, А.Темур кўчаси, 4-408",Жаббаров Мухтор Абдуллаевич ,"99894 255-22-92 , 99895 603-60-05 ,  0436 223-30-02",,,,,,,,,,,,Навоий,,Навоий шаҳри
886,KARAKALPAK JAYXUN PROEKT,МЧЖ ,303000124,"742000, Қорақалпоғистон Республикаси, Нукус шаҳри, Проектная кўчаси, ",Аметов Женисбай Палуаниязович ,"99890 728-57-22 , 99893 368-24-36",,,,,,,,,,,,Қорақалпоғистон Республикаси,,Нукус шаҳри
887,TURAN PROEKT SMETA,МЧЖ ,303248147,"742000, Қорақалпоғистон Республикаси, Нукус шаҳри, 23-микрорайон 1/46 кв-1 ",Ибраимов Мухамеддин Зинатдинович,,,,,,,,,,,,,Қорақалпоғистон Республикаси,,Нукус шаҳри
888,INTER PROGRESS PROYEKT, МЧЖ ,303314634,"Наманган вилояти, Наманган шаҳри, Н.намонгоний кўчаси, 18",Бахрамова Гулчехра Неъматжановна Рахматов Авазхон,99898 771-12-40,,,,,,,,,,,,Наманган,,Наманган шаҳри
889,“GRAFIKA STROY PROEKT,МЧЖ,303419179,"Тошкент шаҳрир, Яккасарой тумани, Тафаккур кўчаси, 68А",Рахмонова Матлуба Жамиловна,,,,,,,,,,,,,,Яккасарой,Тошкент шаҳрир
890,BOYQOZON PLYUS KLASS,МЧЖ ,302534773,"Тошкент вилояти, Паркент тумани, А. Навоий кўчаси, 15",Тургунов Мухаммад Юнусович Тургунова Нигора Юнусовна ,99890 114-55-14,,,,,,,,,,,,Тошкент,Паркент,
891,KOLLEGIAL DIZAYN LOYIHA, МЧЖ ,303203954,"Тошкент вилояти, Бўка шаҳри, Марказий кўча", Умиров Нодир Айнакулович ,"99893 382-03-21 , 99898 123-06-96 , 0370 57-35-280",,,,,,,,,,,,Тошкент,, Бўка шаҳри
892,SHAHRISABZ GRAND GROUP,ХК ,303390764,"Қашқадарё вилояти, Шаҳрисабз тумани, Қутчи ҚФЙ, Чакар қишлоғи",Иргашев Фаррух Шахло опа,99890 444-65-80,,,,,,,,,,,,Қашқадарё ,,Шаҳрисабз тумани
893,KUSHON ROAD CONSTRUCTION PROJECT, МЧЖ ,303436332,"Наманган вилояти, Косонсой тумани, Кайтмас кўчаси, 27",Мирзахамдамов Мансур Махмуджонович,,,,,,,,,,,,,Наманган,Косонсой,
894,YAGONA DAVR QURILISH,МЧЖ,303375765,"Андижон вилояти, Андижон шаҳри, Завкий кўчаси, 15","Мирзаев Илхомжон Ахмаджанович , Нозимжон","99890 210-28-75 , 99890 216-77-75",,,,,,,,,,,,Андижон ,,Андижон шаҳри
895,INOX OIL SERVICES,МЧЖ ,302419377,"100060, Тошкент шаҳри, Яшнаобод тумани, Кичик халқа цўли, 5-уй",Разиева Ирина Викторовна ,"99871 140-97-97 , 99871 233-22-58",,,,,,,,,,,,,Яшнаобод,Тошкент шаҳри
896,SPETSPROMPROEKT,МЧЖ,303327737,"Тошкент шаҳри, Чимкент кўчаси, 17",Балаев Георгий Ашотович ,99893 558-96-54 ,,,,,,,,,,,,,,Тошкент шаҳри
897,ENERGO PROEKT MONTAJ SERVIS,МЧЖ,303464418,"Тошкент шаҳри, Олмазор тумани, Гуруч ариқ кўчаси, 22-УЙ",Махмудов Ахрор Ботирович,99898 365-77-74,,,,,,,,,,,,,Олмазор,Тошкент шаҳри
898,STROY KONSALTING SERVIS, МЧЖ,303491384,"Тошкент шаҳри, Мирзо Улуғбек тумани, Мирзо Улуғбек кўчаси, 124-уй, 16-хона",Касимов Отабек Рустамович,99894 523-30-50,,,,,,,,,,,,,Мирзо Улуғбек,Тошкент шаҳри
899,TOSHKENT MEXANIKA ZAVODI,АЖ,200837470,"100061, Тошкент шаҳри, Элбек кўчаси, 61 ",Пулатов Ш.А.,,,,,,,,,,,,,,,Тошкент шаҳри
900,“CENTRAL ASIA TRANS GAS PROJECT,МЧЖ ,303466249,"Тошкент шаҳри, Бобур кўчаси, 16А-уй",Алиев Жамшид Рустамович ,"99871 238-58-98 ,  99890 965-85-67 ,  99871 238-58-97 ,  ф. ",,,,,,,,,,,,,,Тошкент шаҳри
901,QOROVULBOZOR LOYIHA QURILISH,МЧЖ,302714905,"Бухоро вилояти, Қоровулбозор тумани, Буюк Ипак йўли кўчаси, 1",Рашидов Азиз Хамидович ,"99891 240-98-88 ,  99894 121-44-42",,,,,,,,,,,,Бухоро,Қоровулбозор,
902,EVRO-VOSTOK STROY PROEKT,МЧЖ ,303007675,"Бухоро вилояти, Бухоро шаҳри, Мохи хосса кўчаси, 18",Бакоев Олимжон Розик ўғли ,228-54-04,,,,,,,,,,,,Бухоро вилояти,,Бухоро шаҳри
903,SANIPLAST SYSTEMS,МЧЖ ,302721644,"Тошкент шаҳри, Чилонзор тумани, 3-72-41",Алиев Расул Нагиевич,99890 353-33-45,,,,,,,,,,,,,Чилонзор,Тошкент шаҳри
904,BUXARA ARX DIZAYN,МЧЖ ,303508700,"Бухоро вилояти, Бухоро шаҳри, И.Мўминонов кўчаси, 28/2 уй, 9-хона ",Асроров Эркинжон Рахматуллаевич ,99893 655-82-76,,,,,,,,,,,,Бухоро,,Бухоро шаҳри
905,DIZAYN GAZ INVEST,МЧЖ ,303512278,"Тошкент шаҳри, Яккасарой тумани, Ш.Руставелли кўчаси, 53","Назарова Жамила Джураевна , Таъсисчилар Назаров Илхом","99890 942-68-55 , 99897 700-80-89 , 99890 999-92-93",,,,,,,,,,,,,Яккасарой,Тошкент шаҳри
906,ORDER MAX PROJECT,МЧЖ,207130270,"Тошкент шаҳри, Шайхонтохур Тумани, Қизил Ғунча 2-тор кўчаси, 13-уй",Бахрамова И. Алижонов Зиёдулло Мухаммадбашир ўғли,"99894 630-19-58 , 99895 198-55-55",,,,,,,,,,,,,Шайхонтохур,Тошкент шаҳри
907,BUXOROGEOROAD PROEKT GROUP,МЧЖ ,303513538,"Бухоро вилояти, Жондор тумани, Мирзаён ҚФЙ, Араблар қишлоғи",Ачилов Шухрат Неъматович ,99891 447-12-75,,,,,,,,,,,,Бухоро,Жондор,
908,MEGATEK INJINIRING,МЧЖ ,207130270,"131103, Жиззах филояти, Жиззах тумани, Оқ-олтин ҚФЙ, Янгиқурилиш кўчаси, 5",Уктамов Ж. ,99890 310-08-36,,,,,,,,,,,,,Жиззах,
909,FARG’ONAMAXSUSENERGOMONTAJ,МЧЖ,303076053,"150103, Фарғона вилояти, Фарғона шаҳри, Оқ йўл кўчаси, 67",Алихонов Ш.О,99890 231-38-50,,,,,,,,,,,,Фарғона,,Фарғона шаҳри
910,EKSPRESS ELEKTRON SERVIS,МЧЖ,302070925,"Андижон вилояти, Андижон шаҳри, А.Хадаров кўчаси, 49-А",Романенко Александр Яковлевич,99891 496-19-00 0374 228-41-66,,,,,,,,,,,,Андижон,,Андижон шаҳри
911,ELERTROTEXBUTLASH-SERVIS,МЧЖ,200651775,"Тошкент шаҳри, Олмазор тумани, Саидов кўчаси, 12-уй","Кучкаров Шерзод Шавкатжонович  , Халилов Дилшодбек Геройевич","99891 353-00-01 , 99894 302-71-93 0369 227-85-86  ",,,,,,,,,,,,,Олмазор,Тошкент шаҳри
912,KAPITAL EXPERT PROEKT,МЧЖ ,303689327,"Наманган вилояти, Наманган шаҳри, Н.Намонгоний кўчаси, 18-уй ","Патилохунов Сардор Музаффарович , Маъмуров Ойбек (таъсисчи)",99893 417-96-30 99893 416-50-06 0374 228-25-31 99891 497-89-66,,,,,,,,,,,,Наманган,,Наманган шаҳри
913,ANDIJON UNIVERSAL PROYEKT,МЧЖ ,303452947,"710000, Андижон вилояти Андижон шаҳри, А.Юлдашев кўчаси, 125",Хамидов С.,99890 717-95-79,,,,,,,,,,,,Андижон,,Андижон шаҳри
914,MARJONABEGIM JOZIBASI,ХК,302972395,"Навоий вилояти, Навоий шаҳри, Навоий кўчаси, 38-361 уй ",Кодиров Т.Х.,,,,,,,,,,,,,Навоий,,Навоий шаҳри
915,UNA STROY,МЧЖ ,302972395,"Самарқанд вилояти, Самарқанд шаҳри, Бўстонсарой кўчаси, 40",Жураев А.Г.,99891 449-28-42 k-maro_62@mail.ru,,,,,,,,,,,,Самарқанд,,Самарқанд шаҳри
916,GEOIZMERENIYA KLASSIK,МЧЖ,300733084,"Бухоро вилояти, Бухоро шаҳри, Навоий кўчаси, 5-уй",Мухамедрахимов Ф.,99894 654-90-64 ,,,,,,,,,,,,Бухоро ,,Бухоро шаҳри
917,UNIVERSAL ENGINEERING PROJECT,МЧЖ ,303688114,"100000, Тошкент шаҳри, Чилонзор тумани, И-24-3-20 ",Алимов М.М.,232-34-49 Ozavtosanoat_injiniring@mail.ru,,,,,,,,,,,,, Чилонзор,Тошкент шаҳри
918,AVTOSANOAT-INJINIRING,МЧЖ ,206996319,"Тошкент шаҳри, Бухоро кўчаси, 16-уй",Салимбеков Давронбек Абдуллаевич,99897 747-41-68 Special_pro@bk.ru,,,,,,,,,,,,,,Тошкент шаҳри
919,SPECIAL PROJECT, МЧЖ,303546406,"Тошкент шаҳри, Навоий кўчаси, 9-уй",Курбанов Отабек Хакимжанович,99890 596-55-66 0369 234-55-66 ,,,,,,,,,,,,,,Тошкент шаҳри
920,NAMANGAN IDEAL DIZAYN,МЧЖ ,303768426,"Наманган вилояти, Наманган шаҳри, Яккабоғ 1-бекр кўчаси, 4-уй  ",Рахмонов Хушнидбек Юсубжонович,,,,,,,,,,,,,Наманган,,Наманган шаҳри
921,ORIGINAL PROJECT,МЧЖ,303504556,"Тошкент шаҳри, Навоий кўчаси, 30-уй",У Бабаев,99891 447-08-63,,,,,,,,,,,,,,Тошкент шаҳри
922,HAMKOR ME’MOR,ХК,303723355,"200100, Бухоро вилояти, Бухоро шахри, С. Айни кўчаси, 4-уй",У Бабаев,99891 447-08-63,,,,,,,,,,,,Бухоро,, Бухоро шахри
923,ENERGOPROEKT AZIYA,МЧЖ ХК,303374119,"100125, Тошкент шаҳри, Мирзо Улуғбек тумани, Х. Абдуллаев кўчаси, 13-14 ",Трапезников Андрей Валерьевич,99871 263-31-87 263-31-57,,,,,,,,,,,,,Мирзо Улуғбек, Тошкент шаҳри
924,TREND DESIGN,МЧЖ,303342632,"Тошкент шаҳри, Юнус-обод кўчаси, Ниёзбек йўли қўчаси, 1",Мирзаев К.М. ,,,,,,,,,,,,,,,Тошкент шаҳри
925,CHIRCHIQ ELEKTRO MONTAJ,МЧЖ,200941708,"Тошкент вилояти, Чирчиқ шаҳри, Қодиров кўчаси, 1",Ташпулатов А.М,0370 717-16-03 717-10-50 177-57-35,,,,,,,,,,,,Тошкент,,Чирчиқ шаҳри
926,GOLD ARCH PROJECT,МЧЖ,303760801,"Навоий вилояти, Навоий шаҳри, Меъморлар кўчаси, 15А-22 уй",Ибрагимов Сардор Йўлдошович ,,,,,,,,,,,,,Навоий,,Навоий шаҳри
927,GGM-REBOOT,МЧЖ,303332028,"Тошкент шаҳри, Буюк Ипак йўли кўчаси, 111а уй",Рева Елизавета Владиславовна,"99895 199-35-55 , 99871 267-49-95",,,,,,,,,,,,,,Тошкент шаҳри
928,NANO PROJECT,МЧЖ ,303404736,"100011, Тошкент шаҳри, Навоий кўчаси, 7-уй",Мусаев А,99890 959-92-24,,,,,,,,,,,,,,Тошкент шаҳри
929,INTER INSHOOT INVEST, МЧЖ,303795662,"Тошкент шаҳри, Нукус кўчаси, 98 уй ",Рахманова Зиёда Мурадовна,,,,,,,,,,,,,,,Тошкент шаҳри
930,SHARQ MEDIA LOYIHA,МЧЖ,303492684,"Тошкент шаҳри Паркент кўчаси, 131 уй",Аблаева У.Д ,"99897 303-74-05 , 99871 267-02-31",,,,,,,,,,,,,,Тошкент шаҳри
931,AKMAL-VODPROEKT,МЧЖ,303498217,"Қорақалпоғистон Республикаси, Тўрткўл шаҳри, Б. Курбанбаев кўчаси, 11-уй",Алламов Раимберди Юлдашевич ,99891 431-55-36,,,,,,,,,,,,Қорақалпоғистон Республикаси,,Тўрткўл шаҳри
932,ATMOSFERA EKO-EKSPERTIZA,МЧЖ ,303399427,"Сурхондарё вилояти Термиз шаҳри, С.термизий кўчаси, 22 уй",Сафарова Рузигул Тухтаевна,+99891 234-06-17,,,,,,,,,,,,Сурхондарё,,Термиз шаҳри
933,LAND REGISTER,ХФ,204422764,"Тошкент вилояти, Зангиота тумани, Хонабод ҚФЙ, Якубова кўчаси, 117-уй",Шохидов Фозилжон Махамаджанович ,215-43-80 +99898 363-97-71,,,,,,,,,,,,Тошкент,Зангиота,Хонабод ҚФЙ
934,TERMIZ UNIVERSAL PROJECT,ХК,303494182,"Сурхондарё вилояти, Термиз тумани, Янги ариқ ҚФЙ, Айритом МФЙ ",Таджиев Сирожиддин Жуманазарович ,+99893 790-00-07,,,,,,,,,,,,Сурхондарё,Термиз,Янги ариқ ҚФЙ
935,DIAMOND PROJECT,МЧЖ ,303423927,"Фарғона вилояти, Риштон тумани, А.Набиев кўчаси, 33 уй, 6 хона",Абдужалилов Абдулазизбек Абдуназарович ,+99893 483-33-00 +99893 482-33-33,,,,,,,,,,,,Фарғона,Риштон,
936,ZOHID ZAHRO ZULAYHO,МЧЖ ,303708318,"Бухоро вилояти, Вобкент тумани, Имом Бухорий кўчаси, 23 уй",Тоиров ғолиб Бахриддинович ,+99891 975-22-06,,,,,,,,,,,,Бухоро ,Вобкент,
937,IMAGINE PROJEC,МЧЖ ,303475317,"180100, Қашқадарё вилояти, Қарши шаҳри, Геологлар кўчаси, 4-уй, 8-хона",Алимова Г.,,,,,,,,,,,,,Қашқадарё ,,Қарши шаҳри
938,VODIYGAZTA’MINOT,ХК,206776385,"Андижон вилояти, Андижон шаҳри, Бобур шох кўчаси, 1-уй",Салохиддинов Д. ,0374 298-08-72,,,,,,,,,,,,Андижон ,,Андижон шаҳри
939,ME’MOR ARXITEKTURA SERVIS,МЧЖ ,303857061,"Сурхондарё вилояти, Термиз шаҳри, С.Саодат кўчаси, 159/10",Минглибоев Ж. 0,+99890 249-09-99 +99893 331-90-0,,,,,,,,,,,,Сурхондарё,,Термиз шаҳри
940,SMART DESIGN,МЧЖ ,303415636,"Тошкент шаҳри, Ш.Руставлли кўчаси, 12-уй",Салохитдинв Шарофиддин Зиямитдинович, +99893 540-43-48 150-71-27,,,,,,,,,,,,,,Тошкент шаҳри
941,MAGNUM GAS PROJECT,МЧЖ ,303888965,"100212, Тошкент шаҳри, Юнусобод тумани, 10-15а-21",Исламова С.А. ,+99890 980-56-86 +99893 588-81-84,,,,,,,,,,,,,Юнусобод тумани,Тошкент шаҳри
942,FERGHANA ARCH-PROJECT,МЧЖ ,303889759,"115000, Фарғона вилояти, Фарғона шаҳри, Б.Марғилоний кўчаси, 39",Кушаков Ф.З., +99890 160-32-64,,,,,,,,,,,,Фарғона,,Фарғона шаҳри
943,YAKHYAEV PROEKT SERVIS,МЧЖ ,303253750,"Самарқанд вилояти, Самарқанд шаҳри, Буюк Ипак Йўли кўчаси, 5-уй",Яхъяев З.А.,,,,,,,,,,,,,Самарқанд,,Самарқанд шаҳри
944,DG PROJECT BUILDING,МЧЖ ,303504571,"Бухоро вилояти. Бухоро шаҳри, С.Айний кўчаси, 3А-уй",Давронов Жасур Гиёсозович. ,+99890 514-21-06 +99893 960-70-76,,,,,,,,,,,,Бухоро ,,Бухоро шаҳри
945,MERIDIAN GRAPHICS,МЧЖ ,303237904,"100096, Тошкент шаҳри, Чилонзор тумани, Муқумий кўчаси, 190-уй ",Азимов С.А. ,+99897 745-04-75,,,,,,,,,,,,,Чилонзор тумани,Тошкент шаҳри
946,GOLD PROJECT SERVIS,МЧЖ ,30380348,"Жиззах вилояти, Жиззах шахри, Ш.Рашидов кўчаси, 63-уй ",Тўйчиев Ислом Омон ўғли ,+99891 207-17-77,,,,,,,,,,,,Жиззах ,,Жиззах шахри
947,METROPROEKT,МЧЖ ,30380348,"100185, Тошкент шаҳри, Бунёдкор кўчаси, 41",Саипов Б.Б. ,279-47-90 279-50-59,,,,,,,,,,,,,,Тошкент шаҳри
948,NAVOIYAZOT,АЖ ,200002933,"210105, Навоий вилояти, Навоий шаҳри, Навоий кўчаси, 5",Коржиков Е.А ,99879 223-75-80 ,,,,,,,,,,,,Навоий ,,Навоий шаҳри
949,INVEST PROEKT UNIVERSA,МЧЖ ,303885241,"Андижон вилояти, Андижон шаҳри, Найман кўчаси. 128",Махмудбоев Музаффар Ўзганбой ўғли ,"99891 615-08-15 ,99894 109-82-00 ",,,,,,,,,,,,Андижон,,Андижон шаҳри
950,GLOBAL MOBILE ENGINEERING,МЧЖ ,303129223,"Тошкент шаҳри, Миробод тумани, Афросиёб кўчаси, 41","Сайдалиев Баходир Муратович,Даврон ака"," 99871 207-10-01,99895 502-21-34 , 99895 502-00-00",,,,,,,,,,,,,Миробод тумани,Тошкент шаҳри
951,ADIZXON DIZAYN,МЧЖ ,303934615,"Навоий вилояти, Зарафшон шаҳри, саноат ҳудуди 9-уй",Қурбонов Қобилжон Очилович ,+99893 434-00-60 0436 572-22-69,,,,,,,,,,,,Навоий ,,Зарафшон шаҳри
952,JAHONGIR ULKAN QURILISH SERVIS,МЧЖ ,303482174,"Қашқадарё вилояти, Қарши шаҳри, Охунбобоев кўчаси, 14-уй",Сафаров Рашид ,99890611,,,,,,,,,,,,Қашқадарё,,Қарши шаҳри
953,ME’MOR QURILISH GRAND SERVIS,МЧЖ ,303899231,"Навоий вилояти, Навоий шаҳри, Орзу кўчаси, 10А",У.С. Азимов ,+99890 647-60-51,,,,,,,,,,,,Навоий ,,Навоий шаҳри
954,ARTIFEX GROUP,МЧЖ ,301632834,"Тошкент шаҳри, Мирзо Улуғбек тумани И.Мўминов кўчаси, 9-уй ",Хайтметов Р.Ю. ,+99890 990-20-50 +99871 262-99-89 ,,,,,,,,,,,,,Мирзо Улуғбек тумани,Тошкент шаҳри
955,O’ZALOQAKONSALTING,МЧЖ ,204694743,"100093, Тошкент шаҳри, Юнус обод тумани, 5-мавзе, 7/1",Бикметов Тахир Мухаматшаевич 3  Ходим:Келдиев Х.Х. ,"71 237-02-26 371 221-88-94,221-88-95",,,,,,,,,,,,,Юнус обод тумани,Тошкент шаҳри
956,MAGNUS ART,МЧЖ ,30070220,"Тошкент шаҳри, Юнус оод тумани, Боғи Эрам кўчаси, 17",Азизов Дилшод Шухратович ,+99895 146-55-90,,,,,,,,,,,,,Юнус оод тумани,Тошкент шаҳри
957,BUYUK ASR SARMOYA,МЧЖ ,303786150,"Андижон вилояти, Мархамат тумани, Мустақиллик кўчаси, 9",Саидахмедов Ўктам Мирзахмедович ,+99895 201-10-17,,,,,,,,,,,,Андижон ,Мархамат тумани,
958,SILK ROAD PROJEC,МЧЖ ,304122478,"150700, Фарғона вилояти, Қўқон шаҳри, М.Охунд кўчаси, 17",Шодибоев Умиджон, +99891 694-85-78,,,,,,,,,,,,Фарғона ,,Қўқон шаҳри
959,ARXANGLE GROUP,МЧЖ ,304128904,"Қорақалпоғистон Республикаси, Нукус шаҳри, А. Тумур кўчаси, 127",Торениязов Айнияз Оринбаевич ,0361 222-10-14 +99890 590-79-97,,,,,,,,,,,,Қорақалпоғистон Республикаси,,
960,QUDRAT-CONSTRUCTION,МЧЖ ,303483039,"Қорақалпоғистон Республикаси, Қўнғирот шаҳри, А. Шамуратова, 3",Раджабов Хамза Реимбаевич ,0361 312-39-71 312-18-26 +99890 594-31-72,,,,,,,,,,,,Қорақалпоғистон Республикаси,,Қўнғирот шаҳри
961,VODIY MEGA PROEKT,МЧЖ ,303895657,"Фарғона вилояти, Фарғона шаҳри, Фарғона кўчаси, 41/16",Нишонов М.,,,,,,,,,,,,,Фарғона,,Фарғона шаҳри
962,BETAKROR QURILISH DIZAYN,МЧЖ ,303474784,"Наманган вилояти, Наманган шаҳри, Н.Номонгоний кўчаси, 18-уй",Жураев Шариф Тухтамирзаевич,,,,,,,,,,,,,Наманган ,,Наманган шаҳри
963,ARKADA ARXISTROY SERVIS,ХК,304157061,"Бухоро вилояти, Бухоро шаҳри, Ширбудин кўчаси, 70-уй",Ашурова Зарина Хакимовна ,8365 228-67-83 +99890 637-27-24,,,,,,,,,,,,Бухоро ,,Бухоро шаҳр
964,LOYIHACHI SULTONOVLAR,МЧЖ ,303169063,"Андижон вилояти, Олтинкўл тумани, Олтинкўл ҚФЙ ",Мадмусаева Мадина Ермахановна ,+99894 569-33-36,,,,,,,,,,,,Андижон ,Олтинкўл,
965,PRO LINE MAX,МЧЖ ,303478043,"Тошкент шаҳри, Чилонзор тумани, Дийдор кўчаси, 38-уй ",Насиддинов Бехзодхон Мухиддинович,,,,,,,,,,,,,,Чилонзор,Тошкент шаҳри
966,MAX BUILDING PROJECT,МЧЖ ,303862674,"Тошкент шаҳри, Юнусобод тумани, Амир Темур шох кўчаси, 29-А уй",Адхамов Азизжон Ахаджон ўғли ,+99890 952-60-49 +99895 144-19-99,,,,,,,,,,,,,Юнусобод,Тошкент шаҳри
967,BUNYODKOR MELIORATOR LOYIXA,МЧЖ ,300943069,"Жиззах вилояти, Жиззах тумани, Оқолтин ҚФЙ ",Эргашев Фахриддин ,+99895 280-82-28,,,,,,,,,,,,Жиззах ,Жиззах ,
968,LEADER PROJECT GROUP,МЧЖ ,303802654,"Тошкент шаҳри, Юнусобод тумани, Хуршид кўчаси, 56-А уй ",Умаров Н.Н. ,,,,,,,,,,,,,Юнусобод,,Тошкент шаҳри
969,ФАЙЗЛИ ИНШОАТ,МЧЖ ,300860078,"Жиззах вилояти, Жиззах шаҳри, Мирзо Улуғбек махалласи, Тошкент кўчаси",Исраилов Фарход Рашидович ,+99897771-70-72 Fayzli-inshoat@mail.ru,,,,,,,,,,,,Жиззах ,,Жиззах шаҳри
970,SHAMS PUDRAT TANLOV SAVDO,МЧЖ ,304199739,"Наманган вилояти, Наманган шаҳри, Оби-хаёт кўчаси, 24-уй",Юсупов Шухрат Хакимжанович,Наманган вилояти,,,,,,,,,,,,,,Наманган шаҳри
971,F AND L-LINE,МЧЖ ,301372082,"Тошкент шаҳри, Юнусобод тумани, Ниёзбек йўли кўчаси, 1-уй ",Хакимов Азиз Хаким Ўғли,,,,,,,,,,,,,,,Тошкент шаҳри
972,ZARAFSHON PROJECT,МЧЖ ,304210811,"Самарқанд вилоят, Каттақўрғон тумани, Қоракулча МФЙ, Таянч пункти қишлоғи",Маманиёзов Камол Сайдуллаевич ,99894-612-18-88,,,,,,,,,,,,Самарқанд,,
973,SURXON SERVIS ARX PROEKT,МЧЖ ,304251334,"Сурхондарё вилояти, Термиз шахри, Тараққиёт кўчаси, 13-уй",Набиев Обиджон Мухибуллоевич ,,,,,,,,,,,,,Сурхондарё ,,Термиз шахри
974,DISCOVERY ARCHITECS GROUP,МЧЖ ,304314182,"Жиззах вилояти, Жиззах шахри, Ш.Рашидов кўчаси, 63",Хамроқлов Нодирбек Икрамович,,,,,,,,,,,,,Жиззах вилояти,,Жиззах шахри
975,GRAND SUPER PROJECT,МЧЖ ,304311449,"Жиззах вилояти, Жиззах шахри, Ш.Рашидов кўчаси, 63 ",Джурабоев Искандар Султонович ,+99893 302-04-62,,,,,,,,,,,,Жиззах вилояти,,Жиззах шахри
976,SANGZOR QURILISH LOYIHA,МЧЖ ,207226103,"131106, Жиззах вилояти, Жиззах шахри, Оқ-олтин ҚФЙ, Ш. Дўстмуродов кўчаси ",Абдурахманова Умида Ботировна Лапасов Музаффар Жуманбоевич (ГАП) ,99891-197-5-20,,,,,,,,,,,,Жиззах вилояти,,Жиззах шахри
977,PRIME INVEST PLUS,МЧЖ ,301928092,"Тошкент шахри, Яккасарой тумани, Бобур кўчаси, 74",Шарипов Миржон Ўктамович ,+99895 197-19-20,,,,,,,,,,,,,,Тошкент шахри
978,DIN ENGINEERING PRO,МЧЖ ,304270058,"Самарқанд вилояти, Самарқанд шахри, Лолазор кўчаси, 70",Шарифов Ф.А.,,,,,,,,,,,,,Самарқанд ,,Самарқанд шахри
979,ATLANT ARCHITECTS GROUP,МЧЖ ,304288628,"Жиззах вилояти, Жиззах шағри, Ш.Рашидов кўчаси, 63",Суванова Юлдуз Усмановна ,+99893 308-73-37 +99891 567-72-27,,,,,,,,,,,,Жиззах ,,Жиззах шахри
980,ASILBEK POWER PROJECT,МЧЖ ,304311384,"Жиззах вилояти, Жиззах шағри, Ш.Рашидов кўчаси, 63",Шерқулов Асқар Худойбердиевич ,+99895 503-88-75 +99895 307-35-64,,,,,,,,,,,,Жиззах ,,Жиззах шахри
981,PRIME TOWER GROUP,МЧЖ ,303879121,"Тошкент шаҳри, Шайхонтохур тумани, Кичик халқа йўли кўчаси, 2-уй",Талипов Абдувахоб Абдухамидович ,+99890 941-03-80,,,,,,,,,,,,,Шайхонтохур,Тошкент шахри
982,NUKUS REALPROEK,МЧЖ ,304046120,"Қорақалпоғистон Республикаси, Нукус шаҳри, Гаресизлик кўчаси ",Қутлимуратов Давлетмурат Баймуратович ,+998906536060 0361 224-45-29,,,,,,,,,,,,Қорақалпоғистон Республикаси,,Нукус шаҳри
983,KARALL KONSTRUCTOR SERVIS,МЧЖ ,304238514,"220100, Хоразм вилояти, Урганч тумани, З.Бекчанова кўчаси, 39-уй",Алламов Карим Игамович ,0362 225-37-49 +99894 636-90-58 +99890 719-08-42 ,,,,,,,,,,,,Хоразм ,Урганч ,
